"X","Title","Company","Location","Date","Scrape.Date","Summary","Salary","Url"
"21",20,"Junior Data Analist, Dordrecht","ENGIE","Dordrecht","Meer dan 30 dagen geleden","2021-03-05","Je kan data vraagstukken makkelijk structureren en helder visualiseren in dashboards.
Door jouw sterke analytische vermogen weet je op basis van onze data…","","https://nl.indeed.com/rc/clk?jk=233094a5fbe87200&fccid=bcbba984fec63461&vjs=3"
"22",21,"Assortiment Data Analist","Plieger","Nederland","9 dagen geleden","2021-03-05","Jij bent de data analist die de feiten boven tafel krijgt en de commissies gevraagd en ongevraagd advies geeft over het assortiment en de totale Product…","","https://nl.indeed.com/rc/clk?jk=d8da9cf6841ff789&fccid=4e5f062a0ab5bff4&vjs=3"
"23",22,"Data Analist","Dynagroup","Nuth","16 dagen geleden","2021-03-05","Het verwerken van beschikbare data en het omzetten ervan naar concrete inzichten om onze processen te verbeteren en ons efficiënter te laten werken.","","https://nl.indeed.com/company/Dynagroup/jobs/Data-Analist-f525346a1e0593f4?fccid=754c550af6fe6bf0&vjs=3"
"24",23,"Data Analist Capacity Management","Bol.com","Utrecht","Zojuist geplaatst","2021-03-05","Dat is meteen een van jouw uitdagingen: Met jouw unieke data-skills ontwikkel en verbeter je deze processen, IT services en/of (data science) modellen bestaande…","€3.000 - €4.400 per maand","https://nl.indeed.com/rc/clk?jk=07f6edef3ab12339&fccid=38c84708b80970a7&vjs=3"
"25",24,"Data Analist (Seed Production)","Enza Zaden","Enkhuizen","2 dagen geleden","2021-03-05","Je verzamelt, ordent en controleert relevante data, en zet deze data om in managementinformatie.
Je weet specifieke data om te zetten in managementrapportages,…","","https://nl.indeed.com/rc/clk?jk=b1f3f720f77324f7&fccid=8961def4409a4e5d&vjs=3"
"26",25,"Junior data analist vermogensbeheer","De Werkstudent","Utrecht","13 dagen geleden","2021-03-05","Zoekkenmerken Vacature Junior data analist Vermogensbeheer.
Onze ideale 'Junior data analist Vermogensbeheer'.
Utrecht MBA / WO student bewaar vacature.","€14 per uur","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CxAV0cA5VsoRmsA4FQK4hLlEj2aYb-Ffbbw2t5Cjw-B3OPu2BniKV17mOlmdDhkX7qTIMzgCWy-VadQ4_7LeF7JrQBfQI6f5yjFtdkGqvUcvgoZwB2SC2mZkf6-xyI4NW1FrpA1_9vqd6CTfK5Ri4l3p-Ylfl2noAdCfGvg2se6gsFfRg1Au-MMZwTUlATLMm3LypYR6WeStSIAj9mfkM4gA4w1ilWcsKwE9YB_NIZ-8afsCrewABsZiuW3EBA5jfS3CdzduMV7MWTFa8ChE9f_VhAOlX6vdp9YVzIIT0hCffUzaRggyA8IijJ7MxbcgIEZW0n9ets_T5Zuuo2fV0V0CDLZGZrD_joUPwWtkzFuKqJBd2PnL2ICxoGpOyudtraWZtZ-aGWFkYAd6hV_YTWNYQYQpEEgie8hdGz8hNSQMp9lvqTqt-bUjMQkAkPEalYlrFyHog_3GjGyeOksyTYlvPMw-DdYjyiHJoRDEh6EXhlmeExornyt6YKtIvNAVXY1s2WGlWOMFO5H8ZCaNf4ycthakK8_g5dtnk2fXtA7OeiQZby3g6ls7xaPCQAhpsD8vtx-SBfLjIa2EBU_A8hFdj8J19_cbAULhZ7gHLMcIvPtf8VKq-efomhPYoMusmnzjl5UbG7bW1dY2vGCuq4KEjasFmogOU_vH2GA4XVskm9mZfwzMTKsAe3FOQE35j0owXQf5tD1F7Uhrj2dW9z55vB_YEe_VM2TPwUzbY-kRhQ6mIgprAf0aAjw3R9b54=&p=10&fvj=0&vjs=3"
"27",26,"Data Analyst","USP Marketing Consultancy","Rotterdam","Meer dan 30 dagen geleden","2021-03-05","DATA - RESEARCH ANALYST | Rotterdam | 40 uur per week | €2222 - € 3478.
USP zoekt GEEN schaap met 5 poten!
Wat verwachten we van jou?.","€2.222 per maand","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CraaXEUtviYOfTEBZGldda6AP5YAjOpzXzny0t_gVC2_AYC7pOp1UwSjICQtGzsdZDk2mSGThGeHPGAhAGH6rI5V-1mAtFqyrk6pWtIlU2ZYeAGWktAv8hczYtnn3HlMfFH-ccRadjlli9zqCljB0FsiyfrnJdc5fvJXdkXRozuPWe1rhtkY2aesKVWwonqyYTuZE-ZaQXJihISciZre6-8xR_dPbsmMcav2O0N4QjEc5zNiv2vMrSc8pW2Hi9y7jkiL6q0xOjTVYjC7Um8iEo5bd1XqVwEq1zbarMt-bU2j0ux4opN_tFQzryGeu_n9ILhm73NXo_RWXtZ7ngA3FxSnvzZv98pBn952yffiw5EGNcxOoL7fQqtbRYNOdqg3xg2L_KZEDSvaKvQUEgh0bffzWANHh8F5y1OipwoFmf-JuJnMrse1o46uaPlP2vfYlI5Fv84zwO1A==&p=11&fvj=1&vjs=3"
"28",27,"Data Analist – Record to Report","Bol.com","Utrecht","Meer dan 30 dagen geleden","2021-03-05","Daarnaast help je jouw team om steeds data-gedrevener te werken door hun data-savviness te vergroten en de voordelen van data-gedrevenheid te demonsteren.","€3.800 - €5.000 per maand","https://nl.indeed.com/rc/clk?jk=fa71ae46453cd11e&fccid=38c84708b80970a7&vjs=3"
"29",28,"Adviseur (data-analist)","Ministerie van Defensie","Nederland","15 dagen geleden","2021-03-05","Je hebt kennis en ervaring op het gebied van data.
Hier ondersteun je bij het werken met en toepassen van data.
Het belangrijkste kapitaal van Defensie?","€4.400 per maand","https://nl.indeed.com/rc/clk?jk=64825b9e741e8a60&fccid=0ae1208eb28c7486&vjs=3"
"30",29,"Data analist","Tempo-Team","Son","3 dagen geleden","2021-03-05","Voor de afdeling Supply Chain zoeken zij een data analist die in staat is om data uit excel om te zetten in rapportages in Tableau.
KPI's bij te houden.","€2.800 - €3.200 per maand","https://nl.indeed.com/rc/clk?jk=6f88c3b37ffc3fad&fccid=43cb1310be8d8577&vjs=3"
